"Age","Sex","life_exp"
0,"M",73.13912567
1,"M",73.1362384
2,"M",72.19408335
3,"M",71.23972061
4,"M",70.27585277
5,"M",69.30468434
6,"M",68.32800162
7,"M",67.34726265
8,"M",66.36366234
9,"M",65.37822251
10,"M",64.39186989
11,"M",63.4055585
12,"M",62.42041038
13,"M",61.4379057
14,"M",60.46020275
15,"M",59.49034781
16,"M",58.53244563
17,"M",57.59085454
18,"M",56.66848482
19,"M",55.76509765
20,"M",54.87628069
21,"M",53.99605335
22,"M",53.11906357
23,"M",52.24219139
24,"M",51.36468869
25,"M",50.48673401
26,"M",49.60886076
27,"M",48.73108532
28,"M",47.85277427
29,"M",46.97303204
30,"M",46.09092932
31,"M",45.20598978
32,"M",44.3182861
33,"M",43.42835676
34,"M",42.53711224
35,"M",41.6455599
36,"M",40.75470801
37,"M",39.86542744
38,"M",38.97840781
39,"M",38.09417422
40,"M",37.2130916
41,"M",36.33540165
42,"M",35.46124025
43,"M",34.59069663
44,"M",33.72385074
45,"M",32.86085704
46,"M",32.00199687
47,"M",31.1477131
48,"M",30.2986323
49,"M",29.45549939
50,"M",28.61913496
51,"M",27.79034266
52,"M",26.96983666
53,"M",26.15819042
54,"M",25.35578531
55,"M",24.56278285
56,"M",23.7790989
57,"M",23.00446862
58,"M",22.23851721
59,"M",21.4809901
60,"M",20.7319727
61,"M",19.99209084
62,"M",19.26269312
63,"M",18.545586
64,"M",17.84274036
65,"M",17.15566925
66,"M",16.48469243
67,"M",15.82872301
68,"M",15.1851358
69,"M",14.55063519
70,"M",13.92240251
71,"M",13.29899164
72,"M",12.68124768
73,"M",12.07181308
74,"M",11.47444332
75,"M",10.8930149
76,"M",10.33006158
77,"M",9.786413762
78,"M",9.260848555
79,"M",8.750973554
80,"M",8.254975397
81,"M",7.772637192
82,"M",7.306768134
83,"M",6.862642255
84,"M",6.446471576
85,"M",6.063869982
86,"M",5.716457769
87,"M",5.400773924
88,"M",5.107899085
89,"M",4.824839893
90,"M",4.539156687
0,"F",79.66786244
1,"F",79.58656437
2,"F",78.64399692
3,"F",77.68832388
4,"F",76.72276303
5,"F",75.74990579
6,"F",74.77179351
7,"F",73.7900262
8,"F",72.80584057
9,"F",71.82018334
10,"F",70.83381253
11,"F",69.84735649
12,"F",68.86138174
13,"F",67.87642033
14,"F",66.89298945
15,"F",65.91155973
16,"F",64.93250854
17,"F",63.95603327
18,"F",62.98208096
19,"F",62.01038266
20,"F",61.04049628
21,"F",60.07199707
22,"F",59.10456463
23,"F",58.1380386
24,"F",57.17242074
25,"F",56.20778409
26,"F",55.24423689
27,"F",54.28185314
28,"F",53.32065498
29,"F",52.3606337
30,"F",51.40176313
31,"F",50.44404293
32,"F",49.487517
33,"F",48.53228796
34,"F",47.57852472
35,"F",46.62645791
36,"F",45.67638041
37,"F",44.72863167
38,"F",43.78358917
39,"F",42.84162527
40,"F",41.90307645
41,"F",40.96818398
42,"F",40.03705272
43,"F",39.10966879
44,"F",38.18591345
45,"F",37.26566426
46,"F",36.34886413
47,"F",35.43558595
48,"F",34.52607397
49,"F",33.62069135
50,"F",32.71988476
51,"F",31.82410258
52,"F",30.93373291
53,"F",30.04908103
54,"F",29.17034837
55,"F",28.29765369
56,"F",27.4310518
57,"F",26.57058613
58,"F",25.71634062
59,"F",24.86853452
60,"F",24.02761582
61,"F",23.1943358
62,"F",22.36982042
63,"F",21.55540222
64,"F",20.75241922
65,"F",19.96180215
66,"F",19.18357338
67,"F",18.41672452
68,"F",17.65918261
69,"F",16.90853054
70,"F",16.16294397
71,"F",15.42191667
72,"F",14.68700988
73,"F",13.96146567
74,"F",13.24969668
75,"F",12.55646633
76,"F",11.885526
77,"F",11.23907872
78,"F",10.61708965
79,"F",10.01785364
80,"F",9.439565861
81,"F",8.881475658
82,"F",8.345660577
83,"F",7.836793371
84,"F",7.360986302
85,"F",6.924390222
86,"F",6.529852423
87,"F",6.175665949
88,"F",5.85482971
89,"F",5.556265529
90,"F",5.26948387
