"variable","med","lwr","upr","Sex","Age_bin_idx","Age"
"pDeaths[1,1]",11.55105,6.36917225,18.8385825,"F",2,"1-4"
"pDeaths[2,1]",9.60348,4.7291505,16.7648,"M",2,"1-4"
"pDeaths[1,2]",7.71913,3.46357175,14.1202075,"F",3,"5-10"
"pDeaths[2,2]",6.8779,3.008161,13.05086,"M",3,"5-10"
"pDeaths[1,3]",9.758595,4.86036375,16.6498525,"F",4,"11-15"
"pDeaths[2,3]",19.30035,12.2219625,29.11194,"M",4,"11-15"
"pDeaths[1,4]",15.4257,8.83981875,24.6035525,"F",5,"16-20"
"pDeaths[2,4]",9.753115,5.032745,17.022905,"M",5,"16-20"
"pDeaths[1,5]",19.43325,12.18997,29.360645,"F",6,"21-25"
"pDeaths[2,5]",16.72,10.2154825,25.6212225,"M",6,"21-25"
"pDeaths[1,6]",21.32055,13.3309275,31.881845,"F",7,"26-30"
"pDeaths[2,6]",8.73874,4.301613,15.4814825,"M",7,"26-30"
"pDeaths[1,7]",9.9328,5.29179875,17.3511425,"F",8,"31-35"
"pDeaths[2,7]",16.51,10.0038735,25.1312775,"M",8,"31-35"
"pDeaths[1,8]",31.62635,22.2717375,43.915795,"F",9,"36-40"
"pDeaths[2,8]",25.28775,16.72452,36.692525,"M",9,"36-40"
"pDeaths[1,9]",26.4789,17.7616875,37.99636,"F",10,"41-45"
"pDeaths[2,9]",31.33815,21.8829025,43.8942,"M",10,"41-45"
"pDeaths[1,10]",17.55635,10.681625,27.486455,"F",11,"46-50"
"pDeaths[2,10]",23.4021,15.296775,33.9232525,"M",11,"46-50"
"pDeaths[1,11]",36.4342,26.05814,50.124915,"F",12,"51-55"
"pDeaths[2,11]",28.6319,19.2643025,41.4616875,"M",12,"51-55"
"pDeaths[1,12]",41.2397,30.491045,55.59711,"F",13,"56-60"
"pDeaths[2,12]",49.23435,35.976375,62.792065,"M",13,"56-60"
"pDeaths[1,13]",49.8701,36.6896225,65.93902,"F",14,"61-65"
"pDeaths[2,13]",48.47735,36.4261325,63.3274325,"M",14,"61-65"
"pDeaths[1,14]",60.5068,46.8236875,75.9798475,"F",15,"66-70"
"pDeaths[2,14]",77.8176,61.90086,96.09037,"M",15,"66-70"
"pDeaths[1,15]",454.8785,413.682225,498.705775,"F",16,"70+"
"pDeaths[2,15]",489.112,447.23495,535.282325,"M",16,"70+"
